_address	name	description	unit	type	len	factor	offset	formula	role	room	cw	isScale
30053	DevTypeId			uint32be	2	1	0		value		false	false
30193	Systemzeit als trigger			uint32be	2	1	0		value.time		false	false
30203	WR Wirkleistung Max		W	uint32be	2	1	0		value		false	false
30517	Tag Verbrauch gesamt		kWh	uint64be	4	0.001	0		value		false	false
30529	AC-Gesamtertrag		kWh	uint32be	2	0.001	0		value		false	false
30531	AC-Gesamtertrag		kWh	uint32be	2	1	0		value		false	false
30533	AC-Gesamtertrag		MWh	uint32be	2	1	0		value		false	false
30581	Gekaufte Energie		kWh	uint32be	2	0.001	0		value		false	false
30583	Zählerstand Einspeisezähler		kWh	uint32be	2	0.001	0		value		false	false
30769	DC-Strom 1		A	int32be	2	0.001	0		value		false	false
30771	DC-Spannung 1		V	int32be	2	0.01	0		value		false	false
30773	DC-Leistung 1		W	int32be	2	1	0	x=(x<0) ? 0:x	value		false	false
30775	AC-Leistung		W	int32be	2	1	0		value		false	false
30837	Wirkleistungsbegrenzung W		W	uint32be	2	1	0		value		false	false
30839	Wirkleistungsbegrenzung %		%	uint32be	2	1	0		value		false	false
30845	Batterie Prozent		%	uint32be	2	1	0		value		false	false
30847	Diagnose Aktuelle Kapazität		%	uint32be	2	1	0		value		false	false
30849	Batterie Temperatur		°C	int32be	2	0,1	0		value		false	false
30865	Aktueller Netzbezug		W	uint32be	2	1			value		false	false
30867	Aktuelle Netzeinspeisung		W	int32be	2	1	0		value		false	false
30953	Temperatur WR		°C	int32be	2	0.1	0		value		false	false
30955	Batterie Zustand			uint32be	2	1	0		value		false	false
30957	DC-Strom 2		A	int32be	2	0.001	0		value		false	false
30959	DC-Spannung 2		V	int32be	2	0.01	0		value		false	false
30961	DC-Leistung 2		W	int32be	2	1	0	x=(x<0) ? 0:x	value		false	false
31061	Steuerung verfügbar			uint32be	2	1	0		value		false	false
31379	Batterietyp			uint32be	2	1	0		value		false	false
31391	Batterie Status			uint32be	2	1	0		value		false	false
31393	Momentane Batterieladung		W	uint32be	2	1	0		value		false	false
31395	Momentane Batterieentladung		W	uint32be	2	1	0		value		false	false
31397	Batterieladung		Wh	uint64be	4	1	0		value		false	false
31401	Batterieentladung		Wh	uint64be	4	1	0		value		false	false
32385	WR Status			uint32be	2	1	0		value		false	false
32405	Verbleibende Laufzeit bis WR Neustart			uint32be	2	1	0		value		false	false
